ticker,name,market_cap_usd,cap_bucket,areas,phase3_trials,analyst_rating,rating_mean,analysts,target_price,upside_pct
LONA,"LeonaBio, Inc.",72264155.92881584,Micro,Oncology,1,strong_buy,1.5,3,17.33333,126.0
MAIA,"MAIA Biotechnology, Inc.",83342862.5100801,Micro,Oncology,1,none,,2,12.0,775.9
ALDX,"Aldeyra Therapeutics, Inc.",89886367.86531758,Micro,Oncology,1,none,,5,6.6,343.0
VRCA,Verrica Pharmaceuticals Inc.,92593659.63638449,Micro,Oncology,3,strong_buy,1.28571,6,13.83333,156.6
RNXT,"RenovoRx, Inc.",113726359.29922295,Micro,Oncology,1,strong_buy,1.0,4,7.125,182.7
GNLX,GENELUX Corp,115375602.0925343,Micro,Oncology,1,strong_buy,1.2,5,19.0,645.1
HURA,"TuHURA Biosciences, Inc./NV",133188624.06030059,Micro,Oncology,1,strong_buy,1.5,5,8.04,284.7
KZIA,KAZIA THERAPEUTICS LTD,144093192.46688557,Micro,Oncology,1,strong_buy,1.33333,6,29.244534,131.9
TARA,"Protara Therapeutics, Inc.",221444696.99603224,Micro,Oncology,1,none,,7,25.71429,552.6
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",222038034.7862587,Micro,Oncology,1,strong_buy,1.1,10,34.025,196.4
SLGL,Sol-Gel Technologies Ltd.,230587750.5691452,Micro,Oncology,1,strong_buy,1.0,3,196.66667,179.2
GLSI,"Greenwich LifeSciences, Inc.",231034990.5604248,Micro,Oncology,1,none,,2,57.0,262.1
IPHA,Innate Pharma SA,242389761.51206017,Micro,Oncology,1,strong_buy,1.0,3,6.66667,207.2
RNAC,"Cartesian Therapeutics, Inc.",274718593.8516998,Micro,Oncology,1,none,,7,34.57143,280.7
ALXO,ALX ONCOLOGY HOLDINGS INC,287616143.21030235,Micro,Oncology,1,none,,5,4.6,121.2
MYGN,MYRIAD GENETICS INC,308948355.1743722,Small,Allergy; Oncology,6,hold,3.22222,8,3.3375,3.3
IMRX,Immuneering Corp,324780956.805995,Small,Oncology,1,strong_buy,1.28571,6,17.16667,242.0
AGEN,AGENUS INC,364128237.1679306,Small,Oncology,2,strong_buy,1.0,2,19.5,141.0
LYEL,"Lyell Immunopharma, Inc.",366474381.7854061,Small,Oncology,1,none,,8,37.875,153.3
RLMD,"RELMADA THERAPEUTICS, INC.",484281096.7708683,Small,Oncology,1,strong_buy,1.2,5,12.4,173.1
KYTX,"Kyverna Therapeutics, Inc.",532781255.905159,Small,Oncology,1,none,,5,30.4,252.9
DCTH,"DELCATH SYSTEMS, INC.",575306018.452692,Small,Melanoma; Oncology,2,none,,5,24.0,44.8
EIKN,"Eikon Therapeutics, Inc.",616398047.5986958,Small,Melanoma; Oncology,3,buy,2.0,5,24.6,116.2
ANGO,ANGIODYNAMICS INC,645611911.4498835,Small,Oncology,3,none,,4,20.0,28.0
OCS,Oculis Holding AG,667446116.6386833,Small,Allergy,1,strong_buy,1.3,10,36.098473,200.3
VSTM,"Verastem, Inc.",726318838.2766533,Small,Oncology,1,strong_buy,1.11111,8,15.0,87.0
AURA,"Aura Biosciences, Inc.",777786067.5,Small,Melanoma; Oncology,2,none,,5,16.6,121.3
OLMA,"Olema Pharmaceuticals, Inc.",947599077.1344624,Small,Oncology,2,strong_buy,1.33333,10,39.3,262.9
CADL,"Candel Therapeutics, Inc.",967167140.824811,Small,Oncology,2,none,,8,21.0,59.1
GERN,GERON CORP,1021532741.7548636,Small,Oncology,1,none,,4,4.25,167.3
KURA,"Kura Oncology, Inc.",1166273684.5477953,Small,Oncology,1,strong_buy,1.26667,12,32.0,144.1
CRVS,"Corvus Pharmaceuticals, Inc.",1194517388.7552032,Small,Oncology,1,none,,7,33.14286,133.4
MLTX,MoonLake Immunotherapeutics,1281706711.8121862,Small,Oncology,1,none,,13,28.53846,89.5
ORIC,"Oric Pharmaceuticals, Inc.",1360959385.142105,Small,Allergy; Oncology,2,strong_buy,1.28571,12,20.66667,57.4
VOR,Vor Biopharma Inc.,1464858412.9811745,Small,Oncology,1,strong_buy,1.33333,8,39.0,57.5
AVBP,"ArriVent BioPharma, Inc.",1504378823.0756435,Small,Oncology,2,none,,10,44.7,46.5
REPL,"Replimune, Inc.",1505629708.1896744,Small,Melanoma; Oncology,3,buy,1.75,6,19.5,22.0
BCAX,Bicara Therapeutics Inc.,1547983047.87035,Small,Oncology,1,buy,1.5625,14,33.5,42.2
NTLA,"Intellia Therapeutics, Inc.",1788016634.7524548,Small,Allergy,1,buy,2.26316,17,23.94118,87.6
INBX,"Inhibrx Biosciences, Inc.",1839265988.1658936,Small,Oncology,1,strong_buy,1.5,3,266.66666,113.4
SNDX,Syndax Pharmaceuticals Inc,1841316421.903677,Small,Oncology,1,strong_buy,1.16667,11,37.54545,80.7
LKFT,Lakefront Biotherapeutics NV,1886613307.7274132,Small,Oncology,1,hold,3.0,3,23.7604,-17.5
IMCR,Immunocore Ltd,1924503262.2835426,Small,Melanoma; Oncology,5,strong_buy,1.33333,12,62.5,67.2
NVCR,NovoCure Ltd,2076229318.3158875,Mid,Oncology,2,buy,2.0,7,27.14286,52.2
GENB,"Generate Biomedicines, Inc.",2089577746.2126236,Mid,Allergy,2,strong_buy,1.33333,5,27.0,65.8
URGN,UroGen Pharma Ltd.,2171274563.377014,Mid,Oncology,3,strong_buy,1.375,8,60.0,35.1
PVLA,"PALVELLA THERAPEUTICS, INC.",2203765806.6790314,Mid,Oncology,1,strong_buy,1.0,15,230.53333,50.7
BHVN,Biohaven Ltd.,2369876860.509507,Mid,Oncology,1,buy,1.6875,15,21.73333,38.5
NUVB,Nuvation Bio Inc.,2433283944.4157023,Mid,Oncology,4,strong_buy,1.45455,10,13.1,89.0
NKTR,NEKTAR THERAPEUTICS,2483561310.622696,Mid,Allergy,2,strong_buy,1.41667,10,144.4,98.5
WGS,GeneDx Holdings Corp.,2586210791.924469,Mid,Oncology,1,none,,9,90.44444,4.3
BCRX,BIOCRYST PHARMACEUTICALS INC,2598792037.3457813,Mid,Allergy,2,strong_buy,1.45455,11,20.81818,104.7
NRIX,"Nurix Therapeutics, Inc.",2669938060.10305,Mid,Oncology,1,strong_buy,1.46667,15,33.93333,31.4
SLS,"SELLAS Life Sciences Group, Inc.",2784317217.8362503,Mid,Oncology,1,strong_buy,1.5,2,32.5,129.5
IMNM,Immunome Inc.,3095133259.3796806,Mid,Oncology,1,none,,13,36.30769,32.8
CLDX,"Celldex Therapeutics, Inc.",3100345887.412033,Mid,Allergy,4,none,,15,58.06667,47.1
VCYT,"VERACYTE, INC.",3607936093.1465645,Mid,Oncology,2,none,,11,57.81818,28.8
RCUS,"Arcus Biosciences, Inc.",3754328933.6786537,Mid,Oncology,5,none,,12,38.33333,28.4
IDYA,"IDEAYA Biosciences, Inc.",3875982395.602478,Mid,Melanoma; Oncology,4,strong_buy,1.33333,13,52.15385,29.8
IOVA,"IOVANCE BIOTHERAPEUTICS, INC.",3904613692.0015335,Mid,Melanoma; Oncology,2,buy,1.66667,9,10.0,16.0
RLAY,"Relay Therapeutics, Inc.",4056311639.967539,Mid,Oncology,1,strong_buy,1.21429,13,27.07692,46.3
CELC,Celcuity Inc.,4707249400.2716675,Mid,Oncology,2,strong_buy,1.16667,11,161.09091,67.5
GRFS,Grifols SA,5328936704.885912,Mid,Oncology,1,none,,2,10.865,38.8
ERAS,"Erasca, Inc.",5725604806.481981,Mid,Melanoma; Oncology,2,buy,1.6,10,24.3,48.4
COGT,"Cogent Biosciences, Inc.",5998758574.784378,Mid,Oncology,1,strong_buy,1.33333,11,55.81818,61.5
CGON,"CG Oncology, Inc.",6611685246.639252,Mid,Oncology,2,strong_buy,1.4,13,91.07692,22.1
IMVT,"Immunovant, Inc.",8156765758.871819,Mid,Oncology,2,buy,1.625,16,48.875,23.8
IBRX,"ImmunityBio, Inc.",8425698168.202273,Mid,Oncology,2,none,,4,12.75,60.4
CRNX,"Crinetics Pharmaceuticals, Inc.",9012787340.97313,Mid,Oncology,1,hold,2.77778,8,85.0,0.1
PTGX,"Protagonist Therapeutics, Inc",9452586391.284409,Mid,Oncology,2,strong_buy,1.23077,13,174.6923,19.6
IONS,IONIS PHARMACEUTICALS INC,10192084772.552582,Large,Allergy; Oncology,3,buy,1.79167,22,88.0,43.5
AXSM,"Axsome Therapeutics, Inc.",10995781218.647858,Large,Allergy,2,strong_buy,1.2381,21,285.41953,36.0
SMMT,Summit Therapeutics Inc.,11647144493.517323,Large,Oncology,5,buy,1.88235,13,28.410475,94.6
CORT,CORCEPT THERAPEUTICS INC,11937306013.699013,Large,Oncology,1,buy,2.0,5,141.0,27.7
HALO,"HALOZYME THERAPEUTICS, INC.",12446191095.64209,Large,Melanoma; Oncology,2,none,,9,99.55556,-9.2
EXEL,"EXELIXIS, INC.",14502662130.292114,Large,Oncology,12,buy,2.36842,16,53.6875,-8.3
JAZZ,Jazz Pharmaceuticals,15941073149.338562,Large,Oncology,8,buy,1.55,20,289.45,17.9
GH,"Guardant Health, Inc.",21882027152.57263,Large,Oncology,1,strong_buy,1.32,24,194.29167,19.2
BNTX,BioNTech SE,26077524621.16809,Large,Oncology,13,buy,1.6,20,120.35643,15.9
INCY,INCYTE CORP,26113550988.330658,Large,Allergy; Oncology,9,buy,2.28571,24,127.125,-1.3
ONC,BeOne Medicines Ltd.,40925335268.491425,Large,Allergy; Oncology,19,strong_buy,1.32143,28,432.1582,19.5
RVMD,"Revolution Medicines, Inc.",44845607822.39603,Large,Oncology,6,strong_buy,1.27273,21,248.7738,18.9
VEEV,VEEVA SYSTEMS INC,45451052569.64264,Large,Oncology,3,buy,2.0,27,294.07407,4.8
NTRA,"Natera, Inc.",46870640269.75067,Large,Oncology,6,strong_buy,1.5,21,336.7381,3.6
TAK,TAKEDA PHARMACEUTICAL CO LTD,58856259016.119736,Large,Oncology,8,strong_buy,1.0,3,22.399694,21.5
MRNA,"ModernaTX, Inc.",60208763445.393005,Large,Melanoma; Oncology,5,hold,2.65217,18,112.55556,-25.4
REGN,Regeneron Pharmaceuticals,87720741441.89941,Large,Allergy; Melanoma; Oncology,35,buy,1.89286,27,840.4285,-1.4
SNY,Sanofi,107981970425.48895,Large,Allergy; Oncology,21,buy,2.1,9,53.72222,20.8
BMY,Bristol-Myers Squibb,138210081105.6045,Large,Allergy; Melanoma; Oncology,44,buy,2.46429,24,66.20833,-2.1
PFE,PFIZER INC,165404530161.8835,Large,Allergy; Melanoma; Oncology,48,buy,2.46429,26,28.60577,-1.4
GILD,"GILEAD SCIENCES, INC.",185509691496.35858,Large,Oncology,15,buy,1.75,27,157.40741,5.2
AMGN,AMGEN INC,239413475114.34647,Large,Allergy; Melanoma; Oncology,25,buy,2.47059,29,388.48276,-12.3
AZN,AstraZeneca,250669686215.14478,Large,Allergy; Oncology,169,strong_buy,1.45455,11,212.53636,31.5
NVS,NOVARTIS AG,308790145667.547,Large,Allergy; Oncology,44,hold,2.83333,11,157.15,-3.3
RHHBY,Hoffmann-La Roche,343119284445.6957,Large,Allergy; Melanoma; Oncology,62,none,,7,59.65714,10.8
MRK,Merck Sharp & Dohme LLC,374121905680.4779,Large,Allergy; Melanoma; Oncology,123,buy,1.75,26,148.73077,-1.9
ABBV,AbbVie Inc.,462489937987.32556,Large,Allergy; Oncology,32,buy,1.67742,29,276.5862,5.7
JNJ,Janssen Pharmaceutica,663228172287.9747,Large,Allergy; Oncology,45,buy,1.91304,22,275.63635,0.2
