ticker,company,market_cap_usd,area,nct_id,title,status,start_date,primary_completion,enrollment,conditions,interventions,url
GNLX,GENELUX Corp,118542772.52208233,Oncology,NCT05281471,"Efficacy & Safety of Olvi-Vec and Platinum-doublet + Bevacizumab Compared to Physician's Choice of Chemotherapy and Bevacizumab in Platinum-Resistant/Refractory Ovarian Cancer (PRROC) (OnPrime, GOG-3076)",RECRUITING,2022-08-31,2026-12,186,Platinum-resistant Ovarian Cancer; Platinum-refractory Ovarian Cancer; Fallopian Tube Cancer; Primary Peritoneal Cancer; High-grade Serous Ovarian Cancer; Endometrioid Ovarian Cancer; Ovarian Clear Cell Carcinoma,"olvimulogene nanivacirepvec; Platinum chemotherapy: carboplatin (preferred) or cisplatin; Non-platinum chemotherapy: Physician's Choice of gemcitabine, taxane (paclitaxel, docetaxel or nab-paclitaxel) or pegylated liposomal doxorubicin; Bevacizumab (or biosimilar)",https://clinicaltrials.gov/study/NCT05281471
HURA,"TuHURA Biosciences, Inc./NV",143066247.87206745,Oncology,NCT06947928,Placebo-Controlled Trial of IFx-Hu2.0 Followed By Pembrolizumab In Checkpoint Inhibitor Naïve Participants With Advanced Or Metastatic Merkel Cell Carcinoma,RECRUITING,2025-12-11,2027-03-31,118,Advanced Or Metastatic Merkel Cell Carcinoma,IFx-Hu2.0; Placebo; Pembrolizumab,https://clinicaltrials.gov/study/NCT06947928
KZIA,KAZIA THERAPEUTICS LTD,156377117.60991764,Oncology,NCT03970447,A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma,RECRUITING,2019-07-30,2028-06,2250,Glioblastoma,Temozolomide; Lomustine; Regorafenib; Radiation; Paxalisib; VAL-083,https://clinicaltrials.gov/study/NCT03970447
CRBP,"Corbus Pharmaceuticals Holdings, Inc.",190705142.33969402,Oncology,NCT07768189,A Study to Evaluate CRB-701 Compared to Investigator's Choice Therapy in Previously Treated Oropharyngeal Squamous Cell Carcinoma,NOT_YET_RECRUITING,2026-09-20,2027-12,260,Oropharyngeal Carcinoma (OPC),CRB-701; capcitabine; Cetuximab (EGFR inhibitor); Docetaxel,https://clinicaltrials.gov/study/NCT07768189
IPHA,Innate Pharma SA,195403347.66482735,Oncology,NCT04590963,Assessment of Efficacy and Safety of Monalizumab Plus Cetuximab Compared to Placebo Plus Cetuximab in Recurrent or Metastatic Head and Neck Cancer,ACTIVE_NOT_RECRUITING,2020-10-02,2022-05-11,370,Squamous Cell Carcinoma of the Head and Neck,Monalizumab; Cetuximab; Placebo,https://clinicaltrials.gov/study/NCT04590963
TARA,"Protara Therapeutics, Inc.",216105292.87301612,Oncology,NCT07480356,Efficacy and Safety of Intravesical TARA-002 Compared With Investigator's Choice of Intravesical Chemotherapy in Participants With BCG-naïve High-grade Non-muscle Invasive Bladder Cancer,RECRUITING,2026-05-29,2028-04,284,"Bladder (Urothelial, Transitional Cell) Cancer; Non-Muscle Invasive Bladder Carcinoma; Non-muscle Invasive Bladder Cancer With Carcinoma in Situ",TARA-002; Investigator's Choice of Intravesical Chemotherapy,https://clinicaltrials.gov/study/NCT07480356
GLSI,"Greenwich LifeSciences, Inc.",245123145.1702881,Oncology,NCT05232916,Phase 3 Study to Evaluate the Efficacy and Safety of HER2/Neu Peptide GLSI-100 (GP2 + GM-CSF) in HER2/Neu Positive Subjects,RECRUITING,2022-12-16,2031-12,2250,Breast Cancer,Placebo; GLSI-100,https://clinicaltrials.gov/study/NCT05232916
SLGL,Sol-Gel Technologies Ltd.,258609880.00523376,Oncology,NCT06050122,Efficacy and Safety of Patidegib Gel 2% for Preventing Basal Cell Carcinomas on the Face of Adults With Gorlin Syndrome,ACTIVE_NOT_RECRUITING,2024-03-17,2026-10,140,Gorlin Syndrome,Patidegib Topical Gel; Patidegib Topical Gel with no active patidegib,https://clinicaltrials.gov/study/NCT06050122
ALXO,ALX ONCOLOGY HOLDINGS INC,277936762.6512878,Oncology,NCT05002127,A Study of Evorpacept (ALX148) in Patients With Advanced HER2+ Gastric Cancer (ASPEN-06),ACTIVE_NOT_RECRUITING,2022-01-15,2024-05-24,127,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma; Gastric Adenocarcinoma,Evorpacept (ALX148); Trastuzumab; Ramucirumab; Paclitaxel,https://clinicaltrials.gov/study/NCT05002127
BKTI,BK Technologies Corp,290789501.75141144,Allergy,NCT07003919,Safety Study of Viaskin® Peanut Patch in Peanut-Allergic Children 1 Through 3 Years of Age (COMFORT Toddlers),ACTIVE_NOT_RECRUITING,2025-06-24,2026-11,480,Allergy; Peanut Allergy,DBV712 250 mcg; Placebo,https://clinicaltrials.gov/study/NCT07003919
BKTI,BK Technologies Corp,290789501.75141144,Allergy,NCT05741476,Safety and Efficacy Study of Viaskin Peanut in Peanut-allergic Children 4-7 Years of Age,ACTIVE_NOT_RECRUITING,2023-02-21,2025-11-06,600,"Allergy, Peanut",DBV712; Placebo; DBV712,https://clinicaltrials.gov/study/NCT05741476
AMRN,AMARIN CORP PLC\UK,301634063.8795948,Oncology,NCT03428477,EPA for Metastasis Trial 2,ACTIVE_NOT_RECRUITING,2018-05-02,2025-11-30,418,Liver Metastasis; Colon Cancer,Icosapent Ethyl; Placebo,https://clinicaltrials.gov/study/NCT03428477
